subtype,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice,baseline_mae,mae_reduction_vs_original_ml
HR+/HER2-,spatial_k16,spatial_k16,312,7.198050108457673,6.024626090652112,10.038172675770955,5.0085133218495095,0.8846153846153846,25.136987505941928,28.578974513598233,1.1941509739665785,3.456262056818445,0.051153102590890974,14.791231101059788,7.5931809926021145
HR+/HER2-,spatial_k4,spatial_k4,312,7.14325921202179,5.657536205115177,9.476779995464048,4.770772407277674,0.8717948717948718,24.74142071253557,30.4178005018161,1.1984297050240091,3.4636120350937447,0.051373756925232654,14.791231101059788,7.647971889037998
HR+/HER2-,spatial_k4_bio,spatial_k4_bio,312,5.375635888680518,4.593642043397606,7.458682033448561,3.791533459256651,0.8621794871794872,19.63277537829248,23.181604309262756,1.180105475671828,3.444051258054327,0.05121395310553874,14.791231101059788,9.41559521237927
HR-/HER2+,bio_ftv010_alive000,bio_ftv010_alive000,57,10.723880397296563,9.198003937762216,13.307542188843476,8.211698647666728,0.8596491228070176,25.61904397094756,28.585701535562986,1.1575112518473032,3.5325865564025944,0.0511168979795397,18.338697134072575,7.614816736776012
HR-/HER2+,bio_ftv010_alive002,bio_ftv010_alive002,57,10.921249513992928,9.295860534203676,13.321919941322705,8.35101992362036,0.8421052631578947,24.93401675241439,29.26958398302408,1.1350385899714819,3.5184035218201433,0.051415827990067206,18.338697134072575,7.417447620079647
HR-/HER2+,bio_ftv020_alive005,Endpoint-calibrated,57,10.781211788669914,9.075074506071239,12.964815254298527,8.06924479721511,0.8421052631578947,25.209256690269747,28.73592038758793,1.1334124371420504,3.514318909685703,0.05148880047764205,18.338697134072575,7.557485345402661
HR-/HER2+,endpoint_full_k8,endpoint_full_k8,57,11.07896825400722,9.159054290073927,12.931177996290575,8.174214529648532,0.8421052631578947,27.978999774296145,32.52606391734833,1.126234811140317,3.5154138628746225,0.05171910992808928,18.338697134072575,7.259728880065355
HR-/HER2+,feature_all_k8,feature_all_k8,57,10.953582997850802,9.104531081548059,12.851837715867546,8.221223703244926,0.8596491228070176,23.270709048107715,27.44292853309906,1.099671770830692,3.4876841876378935,0.053497087326554754,18.338697134072575,7.385114136221773
HR-/HER2+,feature_pe_ser_k8,feature_pe_ser_k8,57,10.636049228462603,9.09988211183511,12.990395733906132,8.075544160050217,0.8596491228070176,25.232599349013416,29.754950942102724,1.1071269230098406,3.4891469197540435,0.05303511592783507,18.338697134072575,7.702647905609972
HR-/HER2+,feature_volume_k8,feature_volume_k8,57,10.319536153070407,8.995696501089723,12.446775716131894,7.837303892951622,0.8771929824561403,23.475716632195983,26.748675485262865,1.1131551753659539,3.4998174836513356,0.05084912098008107,18.338697134072575,8.019160981002168
