model_tag,model_label,bucket,conditioning_context,start_visit,predicted_visit,n_rows,n_patients,obs_ftv_ml_mean,det_ftv_ml_mean,det_ftv_bias_ml_mean,det_ftv_bias_ml_se,det_ftv_mae_ml_mean,det_ftv_mae_ml_se,mc_mean_ftv_ml_mean,mc_mean_ftv_bias_ml_mean,mc_mean_ftv_bias_ml_se,mc_mean_ftv_mae_ml_mean,mc_mean_ftv_mae_ml_se,mc_median_ftv_ml_mean,mc_median_ftv_bias_ml_mean,mc_median_ftv_bias_ml_se,mc_median_ftv_mae_ml_mean,mc_median_ftv_mae_ml_se,coverage90_ftv_raw_mean,coverage90_ftv_conformal_mean,ftv_raw_width90_ml_mean,ftv_conformal_width90_ml_mean,crps_ftv_mean,near_zero_ftv_prob_mean,alive_det_abs_err_mean,alive_count_abs_err_mc_mean_mean,swd_mm_mc_mean_mean,chamfer_mm_mc_mean_mean,dice_mc_mean_mean,high_t3_obs_ftv_p90_threshold_ml,high_t3_n_patients,high_t3_obs_ftv_ml_mean,high_t3_det_ftv_mae_ml_mean,high_t3_mc_mean_ftv_mae_ml_mean,high_t3_mc_median_ftv_mae_ml_mean,subgroup_type,subgroup_value
bio_ftv010_alive000,FTV-only ablation,T2->T3,"T0,T1,T2->T3",T2,T3,128,128,18.06031673771804,18.82122438996032,0.7609076522422777,0.723826871188332,3.642316772635275,0.6511711260364561,22.572701427748733,4.512384690030694,0.734222029991087,5.447835208980289,0.682434962842762,20.711807432958622,2.6514906952405832,0.7378771011815438,4.07410755504468,0.6849265885473163,0.875,0.921875,21.250979730812638,24.24363580914557,3.415513865323032,0.052032470703125,11.463007121812552,9.9693603515625,3.2489804322896805,5.712088251430515,0.04160750076749229,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive000,FTV-only ablation,T2->T3,"T0,T1,T2->T3",T2,T3,312,312,24.151545263727037,22.370291577162,-1.781253686565038,0.5218633445863203,4.533937961727949,0.46523662422083845,26.145124246450354,1.993578982723319,0.5065285976978103,5.552071733807239,0.4125931878832794,24.35256878843286,0.2010235247058261,0.5006944079443131,4.557341576878186,0.4290015291826538,0.8846153846153846,0.8942307692307693,21.445552142556522,24.432656280010672,3.7301886038608405,0.04225510817307692,6.34935715694267,4.829614883814102,2.3351157497698876,5.130642086473664,0.03921955732913222,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive000,FTV-only ablation,T2->T3,"T0,T1,T2->T3",T2,T3,57,57,33.4003134257203,29.791421005015778,-3.6088924207045237,2.2078318414016183,6.429036181965884,2.0902187125393303,33.61377202864586,0.2134586029255574,2.119262025064547,7.343744434334987,1.8785736800051598,31.895692472324793,-1.5046209533955086,2.099847971048011,6.3864783921594634,1.9291051869264513,0.8771929824561403,0.9122807017543859,21.86994816204658,24.8606773653987,5.429636740205534,0.03919956140350877,5.286335592730003,4.341694078947368,3.375082500303348,6.061194182076312,0.03699938316769718,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive000,FTV-only ablation,T2->T3,"T0,T1,T2->T3",T2,T3,261,261,27.412081542207194,24.888935777421935,-2.523145764785256,0.7914917224853859,5.099013730230302,0.742256698515325,28.721686586999798,1.3096050447926075,0.7650960007510239,6.183370344400514,0.6670188789056105,26.949032400901118,-0.46304914130607366,0.7570048410046809,5.158288236240941,0.6866897255851617,0.8773946360153256,0.896551724137931,21.812358667547148,24.79992893497013,4.34309574702567,0.03882303639846743,6.810483831248578,5.291771431992337,3.3184975671470913,6.1035664046730576,0.03702820495468737,,0,,,,,subtype,TNBC
bio_ftv010_alive002,Medium FTV + medium alive,T0->T1,T0->T1,T0,T1,128,128,17.829507878067034,18.59442144308163,0.7649135650145935,0.41294282844084523,2.8235232698533026,0.3351938575390492,21.26775954482146,3.4382516667544256,0.44115713885975427,4.37228164410322,0.37037350414554177,19.486382463293943,1.6568745852269124,0.43621144440000065,3.194824792621559,0.36266665256674974,0.8828125,0.9140625,17.80794370058049,19.714761252330263,2.595864426614854,0.066741943359375,0.12080507632344961,0.23516845703125,1.1411993604415545,3.3546932900455344,0.05657739818223173,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive002,Medium FTV + medium alive,T0->T1,T0->T1,T0,T1,312,312,23.898220145750923,22.153627663263386,-1.7445924824875403,0.9232936086801605,4.9851466148076,0.8845047381154512,24.78772803333588,0.8895078875849586,0.9092474184313778,5.882282775497115,0.8473588122928309,23.04359490830672,-0.8546252374442032,0.9087721466150096,4.94558922245308,0.8657768120149919,0.9006410256410257,0.907051282051282,18.427422487454823,20.333917733476127,4.238103323587693,0.048665364583333336,1.3092600527482154,1.4389523237179487,1.1575932449995427,3.4261029267864638,0.05123013594841388,,0,,,,,subtype,HR+/HER2-
bio_ftv010_alive002,Medium FTV + medium alive,T0->T1,T0->T1,T0,T1,57,57,28.652596897940896,29.084677025065037,0.43208012712414495,0.9788869314363593,4.054694355959054,0.8172956919237122,31.781944051714525,3.1293471537736357,0.9742122052618678,5.2065784068653596,0.7999259170088955,30.132602747977074,1.480005850036181,0.9762217860846448,4.473662432619003,0.7967037492760317,0.8070175438596491,0.8771929824561403,18.210958759198082,20.116081419019363,3.538775664724957,0.045435855263157895,0.1495199726338972,0.3189418859649123,1.2238528192156914,3.582200345432667,0.04587047111191471,,0,,,,,subtype,HR-/HER2+
bio_ftv010_alive002,Medium FTV + medium alive,T0->T1,T0->T1,T0,T1,261,261,27.03395684154582,25.080908850406928,-1.9530479911388927,0.8855566275599805,5.3286933309994176,0.8304636434404478,27.755648402693357,0.7216915611475371,0.8675572616898064,5.955612472492062,0.7862813535089236,26.04100444477011,-0.9929523967757131,0.8622475626944754,5.208311333731054,0.8018293290250972,0.8582375478927203,0.89272030651341,18.743058451493898,20.64889490248927,4.403364605411319,0.044196000957854406,0.20354511523155416,0.3724257662835249,1.1810362104233783,3.482092963886523,0.049264600212569634,,0,,,,,subtype,TNBC
bio_ftv010_alive002,Medium FTV + medium alive,T0->T2,T0->T2,T0,T2,128,128,18.98369426758927,18.6968711000463,-0.2868231675429695,0.7940636414773243,4.068863141764283,0.707690197221945,22.966477650226043,3.982783382636771,0.8009584568079028,5.887201258459175,0.7025168471428513,20.51402612257175,1.5303318549824791,0.7940041937529295,4.26646346624828,0.7110235655036433,0.90625,0.921875,23.02199668765784,27.306903677992175,3.5420579169659168,0.067779541015625,4.0084532257169485,4.864349365234375,1.1555834897209485,3.4344204509282252,0.054653840453771946,,0,,,,,subtype,HR+/HER2+
bio_ftv010_alive002,Medium FTV + medium alive,T0->T2,T0->T2,T0,T2,312,312,24.426798369557684,21.83829571635921,-2.5885026531984767,1.0268495436767215,5.715807617223211,0.985350093189296,25.85163872421189,1.4248403546542054,1.0015436243115206,7.2140197860898185,0.9177579347386557,23.73020287254322,-0.6965954970144674,0.9953521282373131,5.942105213949933,0.937418589168025,0.8621794871794872,0.9038461538461539,22.145719642968327,26.41000357663782,5.01745884129861,0.05120693108974359,0.30149640773351377,1.198379907852564,1.1575032108759318,3.4560326829246333,0.04890567768937642,,0,,,,,subtype,HR+/HER2-
